location,year,min(mdc),max(mdc),avg(mdc),stddev_samp(mdc),median
Moosonee,2014,0.022184381,0.045322921,0.03221576873076923,0.007174474879031673,0.029782465
Coral Harbour,2009,0.011300557,0.104415696,0.03853633928205128,0.016615191730625478,0.034208257
Kuujjuarapik,2013,0.012350976,0.16200401,0.036782789318181824,0.020942288923234336,0.03610754
RPB,2014,0.018216397,0.043173517,0.02932133936538461,0.006727319646808637,0.030936548
Toronto,2011,0.020575044,0.066898778,0.032605032596153855,0.008620111059032385,0.030758747
Coral Harbour,2013,0.007517546,0.065181616,0.04039189876000001,0.014431117606286443,0.038029726
Calgary,2015,0.020424331,0.052854781,0.032836534846153856,0.008071388918742648,0.031018894
Port Hope,2010,0.019278319,0.054465789,0.03153524357692307,0.007378808275152543,0.031212046
Alert,2010,0.112834561,3.023419296,1.0106447025624998,0.7036392396513131,1.008267514
Churchill,2015,0.011177496,0.056370817,0.029873872363636356,0.01581181717607152,0.02570451
Digby,2017,0.02478386,0.058342407,0.03698126033333334,0.01150404341229022,0.034347289
Kuujjuarapik,2010,0.013489252,0.258320855,0.035905625249999996,0.033664845345240876,0.031879117
Montreal,2009,0.019071394,0.059453825,0.03141052396153847,0.008416547451674758,0.030153757
Digby,2009,0.01748294,0.063982887,0.027532784893617022,0.008847830490152,0.025075315
Charlottetown,2013,0.019699196,0.046492914,0.03128419948076922,0.0066703835688450225,0.032040604
Moosonee,2010,0.022226477,0.046051657,0.03356837183018869,0.006701509571469528,0.032918048
Vancouver,2011,0.015051732,0.054313285,0.03058448936734693,0.008063098862834088,0.02823972
Churchill,2016,0.004957795,0.051100561,0.0210029198,0.012855127026847416,0.016720663
Moncton,2010,0.015729203,0.088867237,0.03651405405882353,0.011646611424145796,0.036487709
Winnipeg,2017,0.012894415,0.039384817,0.028412577874999997,0.007980578420016031,0.02987666
Inuvik,2013,0.02305966,0.04583038,0.03465449411538461,0.006949012719813195,0.032870188
Saskatoon,2014,0.021946114,0.027971521,0.02521472375,0.0019291232980917783,0.025051293
Winnipeg,2013,0.017790336,0.05932482,0.03526361264,0.008991728964095797,0.035653596
Quebec City,2015,0.013091137,0.054384326,0.030020335083333335,0.009323881469096114,0.026224329
Toronto,2015,0.019736602,0.058410197,0.0325304812,0.008529203753685965,0.029090117
Halifax,2014,0.010372409,0.045545093,0.0316474299387755,0.00807514089386545,0.035442389
Inuvik,2016,0.022500756,0.047700603,0.03308757448076923,0.008061372037630434,0.028568085
Digby,2016,0.016888443,0.046437404,0.029058559244444445,0.007373072424304702,0.027271221
Moncton,2015,0.022085545,0.505067247,0.041737412499999994,0.07360121234069295,0.026686726
Moosonee,2015,0.023145997,0.046815862,0.03192352531372549,0.007500003272256176,0.027803961
Quebec City,2010,0.021948917,0.053725511,0.03209357651923077,0.0067970448583302605,0.029634319
Iqaluit,2016,0.004201778,0.034730441,0.006344807999999999,0.004229720639080289,0.00521022
Coral Harbour,2015,0.005483167,0.146528397,0.04189926529411764,0.03266541265025958,0.030460175
RPB,2017,0.01975709,0.041683355,0.030094583545454547,0.00789541355642737,0.026211937
Toronto,2009,0.020999241,0.07034286,0.031877822132075455,0.011039523651397508,0.028844366
